"логин";"Договор";"Номер договора";"Текущий статус";"Текущий статус1";"Тарифный план";"Тип договора";"Подключение id"
"15SAR01659";"1038604";"131696344";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503288"
"15SAR01660";"1038605";"131696345";"Активен";" 0";"Ф/Л Саранск 'ТТК-Летай', 100Мб, 700 руб.";"ФЛ";"2503286"
"15SAR01662";"1038608";"131696350";"Активен";" 0";"Ф/Л Саранск 'ТТК-Летай', 100Мб, 700 руб.";"ФЛ";"2503284"
"15SAR01663";"1038609";"131696351";"Активен";" 0";"Ф/Л Саранск 'ТТК-Летай', 100Мб, 700 руб.";"ФЛ";"2503282"
"15SAR01664";"1038635";"131696411";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай ФА2015', 30Мб, 400 руб.";"ФЛ";"2503359"
"15SAR01666";"1038639";"131696420";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503361"
"15SAR01667";"1038646";"131696462";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503405"
"15SAR01668";"1038647";"131696464";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2503407"
"15SAR01669";"1038648";"131696465";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2503409"
"15SAR01670";"1038649";"131696467";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2503416"
